Rating,Bigram,Count
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 4 to 5,Fit Flare,1
Rating 3 to 4,Dark Blue,1
Rating 3 to 4,Dark Blue,1
Rating 4 to 5,Dark Blue,1
Rating 3 to 4,Dark Blue,1
Rating 3 to 4,Dark Blue,1
Rating 3 to 4,Dark Blue,1
Rating 4 to 5,Dark Blue,1
Rating 3 to 4,Dark Blue,1
Rating 3 to 4,Dark Blue,1
Rating 4 to 5,Dark Blue,1
Rating 3 to 4,Dark Blue,1
Rating 3 to 4,Dark Blue,1
Rating 3 to 4,Dark Blue,1
