Rating,Bigram,Count
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 3 to 4,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Wrap Around,1
Rating 4 to 5,Printed Wrap,1
Rating 4 to 5,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 4 to 5,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 4 to 5,Printed Wrap,1
Rating 4 to 5,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 4 to 5,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 4 to 5,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 4 to 5,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
Rating 3 to 4,Printed Wrap,1
