Rating,Bigram,Count
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 4 to 5,black tshirt,1
Rating 3 to 4,black tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 3 to 4,multicolor tshirt,1
Rating 4 to 5,multicolor tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 3 to 4,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 3 to 4,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 3 to 4,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 3 to 4,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 3 to 4,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
Rating 3 to 4,dark blue tshirt,1
Rating 4 to 5,dark blue tshirt,1
