Rating,Bigram,Count
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 3 to 4,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
Rating 4 to 5,round neck,1
