ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
0,http://flipkart.com/aayu-women-fit-flare-multicolor-dress/p/itmfbz6zajmnsthr?pid=DREFBYMFG4AGWRHE&lid=LSTDREFBYMFG4AGWRHEHXJBKS&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFBYMFG4AGWRHE.SEARCH&ssid=wfnpprmlww0000001596817412127,Aayu ,Women Fit and Flare Multicolor Dress,₹569,"₹1,099",4,4510,867,"['nice🙂👍', 'Nice fabric... beautiful dress... Perfect for feeding as all buttons are openable... belt is also provided... thank u Flipkart...', 'excellent product']"
1,http://flipkart.com/micozy-women-a-line-multicolor-dress/p/itm8bf8b675bfc32?pid=DREFEHWMKWFB9PYY&lid=LSTDREFEHWMKWFB9PYYJHMT9A&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFEHWMKWFB9PYY.SEARCH&ssid=wfnpprmlww0000001596817412127,Micozy ,Women A-line Multicolor Dress,₹347,"₹1,299",4,12612,2026,"['very very nice dress 💃💃💃💃💃', 'Good', 'good']"
2,http://flipkart.com/daevish-women-a-line-black-dress/p/itm14fd040ead0c5?pid=DREFNXPYFGUEGRQE&lid=LSTDREFNXPYFGUEGRQEYPSC8P&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFNXPYFGUEGRQE.SEARCH&ssid=wfnpprmlww0000001596817412127,Daevish ,Women A-line Black Dress,₹539,"₹1,199",4.3,6532,1445,"['I love this dress 👌👌', 'Good quality...', 'Perfect dress']"
3,http://flipkart.com/limeswood-creation-women-maxi-black-yellow-dress/p/itmbd63360667754?pid=DREFPBNMF2ZTCGZH&lid=LSTDREFPBNMF2ZTCGZHGMLETK&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFPBNMF2ZTCGZH.SEARCH&ssid=wfnpprmlww0000001596817412127,LIMESWOOD CREATION ,"Women Maxi Black, Yellow Dress",₹599,"₹1,599",3.9,408,50,"['good product', 'Nice dress but finishing was not well.', 'NYC product']"
4,http://flipkart.com/tokyo-talkies-women-maxi-black-dress/p/itmf3vb6ydxcehff?pid=DREFYZQRNMHMPVRH&lid=LSTDREFYZQRNMHMPVRHURYJRM&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFYZQRNMHMPVRH.SEARCH&ssid=wfnpprmlww0000001596817412127,Tokyo Talkies ,Women Maxi Black Dress,₹726,"₹2,249",4.2,1173,283,"['outfit is js osam', 'great dress', ""very verry  nice.....😍😍😍go for it....I'm  very happy with  this purchase 😘""]"
5,http://flipkart.com/rudraaksha-women-fit-flare-yellow-dress/p/itmfb7y35fqppjfp?pid=DREFB7U7SZHVTVRF&lid=LSTDREFB7U7SZHVTVRF0WHWD3&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFB7U7SZHVTVRF.SEARCH&ssid=wfnpprmlww0000001596817412127,Rudraaksha ,Women Fit and Flare Yellow Dress With Mask,₹359,"₹1,899",3.9,9422,1620,"['very good quality...so happy with this..', 'Very good good product. I am happy with this product 😊😊😊😊', 'nice product. i love this']"
6,http://flipkart.com/hetvi-creation-women-fit-flare-multicolor-dress/p/itmb1d1f5a8c1f4b?pid=DREFJ34HBWZZQVHY&lid=LSTDREFJ34HBWZZQVHY0GWJNN&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFJ34HBWZZQVHY.SEARCH&ssid=wfnpprmlww0000001596817412127,Hetvi Creation ,Women Fit and Flare Multicolor Dress,₹719,"₹1,999",3.9,2285,346,"['This dress is so good and beautiful. I just love it  and it is same as shown', 'very nice product', 'colour is not good']"
7,http://flipkart.com/j-g-fashion-women-a-line-multicolor-dress/p/itmfekb55zzh5aqd?pid=DREFEK4MG3RCCR94&lid=LSTDREFEK4MG3RCCR943RWNFE&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFEK4MG3RCCR94.SEARCH&ssid=wfnpprmlww0000001596817412127,J&G FASHION ,Women A-line Multicolor Dress,₹474,"₹1,050",3.9,2094,381,"['Good product', 'Good product  ..colour. .material ..everything is nice', 'nice product']"
8,http://flipkart.com/hiva-trendz-women-skater-multicolor-dress/p/itma63db90a03172?pid=DREFS9YZJGTFGYYF&lid=LSTDREFS9YZJGTFGYYFTHRLRL&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFS9YZJGTFGYYF.SEARCH&ssid=wfnpprmlww0000001596817412127,Hiva Trendz ,Women Skater Multicolor Dress,₹269,"₹1,299",3.9,855,120,"['Just wow go for it', 'Best product', 'Nice']"
9,http://flipkart.com/dsk-studio-women-fit-flare-multicolor-dress/p/itmfffkyqhngtuax?pid=DREFFYHANZFCKPR8&lid=LSTDREFFYHANZFCKPR8YFWMVX&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFFYHANZFCKPR8.SEARCH&ssid=wfnpprmlww0000001596817412127,DSK STUDIO ,Women Fit and Flare Multicolor Dress,₹305,"₹1,299",4.2,4793,852,"['Ausome', 'Too good.. Osm product.. Love this 😍', 'Very good product']"
