ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
0,http://flipkart.com/vikalps-printed-women-regular-maroon-skirt/p/itm21705740064d6?pid=SKIFN2EGH5KAZUCW&lid=LSTSKIFN2EGH5KAZUCWYIMNZC&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFN2EGH5KAZUCW.SEARCH&ssid=ux2dgig0m80000001596818393673,VIKALPS ,Women Printed Regular Maroon Skirt,₹399,₹900,3.8,536,83,"['nice skirt.. n febric is also good, go for it value for money😊😊', ""Quality of cloth is very good & comfortable.. I'm happy🙂"", 'Very good']"
1,http://flipkart.com/frionkandy-printed-women-wrap-around-black-skirt/p/itmfhbgbfxhnu6rz?pid=SKIFH9R2QU8QPZE6&lid=LSTSKIFH9R2QU8QPZE62ARLWR&marketplace=FLIPKART&spotlightTagId=BestsellerId_clo%2Fvua%2Fiku&srno=b_1_2&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFH9R2QU8QPZE6.SEARCH&ssid=ux2dgig0m80000001596818393673,Frionkandy ,Women Printed Wrap Around Black Skirt,₹399,₹999,4.1,1825,297,"['nice quality in this price', 'lovely product must by', 'Good.. Comfortable ☺️']"
2,http://flipkart.com/vikalps-embroidered-women-a-line-white-skirt/p/itm7596857b29e99?pid=SKIFSYNMG8UGDKYB&lid=LSTSKIFSYNMG8UGDKYBW6VUUJ&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFSYNMG8UGDKYB.SEARCH&ssid=ux2dgig0m80000001596818393673,VIKALPS ,Women Embroidered A-line White Skirt,₹553,₹999,4.1,60,14,"['Super', 'Wow', 'Quality parameters of skirt is good but it was larger in size']"
3,http://flipkart.com/unique-choice-printed-women-a-line-black-skirt/p/itm6114c3ede223c?pid=SKIFZWYZJZMAHZ9H&lid=LSTSKIFZWYZJZMAHZ9HCTRUEZ&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFZWYZJZMAHZ9H.SEARCH&ssid=ux2dgig0m80000001596818393673,Unique Choice ,Women Printed A-line Black Skirt,₹314,₹999,4.1,273,44,"['really worth for money', 'Amazing product.. totally similar like the picture..I like this most. Thank you flipkart for delivering this best product..and also so comfortable to wearing.', 'Nice product,I love this.thanks Flipkart.']"
4,http://flipkart.com/unique-choice-printed-women-wrap-around-white-skirt/p/itmfe6xtby4vafgm?pid=SKIFE6HYQG5HAU6R&lid=LSTSKIFE6HYQG5HAU6RSWHCAM&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFE6HYQG5HAU6R.SEARCH&ssid=ux2dgig0m80000001596818393673,Unique Choice ,Women Printed Wrap Around White Skirt,₹314,₹999,4.1,223,34,"['Good items  thanks', 'Superb', 'Fantastic']"
5,http://flipkart.com/fashioncutz-printed-women-flared-white-maroon-skirt/p/itm6767e25b8c665?pid=SKIFSQ3QZ3UGKR8J&lid=LSTSKIFSQ3QZ3UGKR8JRC2WSU&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFSQ3QZ3UGKR8J.SEARCH&ssid=ux2dgig0m80000001596818393673,Fashioncutz ,"Women Printed Flared White, Maroon Skirt",₹474,"₹1,899",4.1,223,37,"['Dress material is good. Quality is also good .', 'Good product', 'Awsm Got in rs. 499Good productColour is also same as to in pic']"
6,http://flipkart.com/modern-kart-printed-women-wrap-around-red-skirt/p/itmf5jwbtvz3mfqs?pid=SKIF5JGFFGCYHFFQ&lid=LSTSKIF5JGFFGCYHFFQOSRTOO&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIF5JGFFGCYHFFQ.SEARCH&ssid=ux2dgig0m80000001596818393673,Modern Kart ,Women Printed Wrap Around Red Skirt,₹319,"₹1,199",3.9,193,26,"['color is not red its colour is vryy 9ccc. ..thk flip cart fr THS product. ..I am very happy to this product', 'Very good I loved it alot👍☺️☺️', 'super wrap. even the fabric is cool..  Packing and delivery are beyond words thanks flipkart.']"
7,http://flipkart.com/fashioncutz-floral-print-women-regular-blue-skirt/p/itmffgnwufvr74qt?pid=SKIFFGDB4UGTVNTH&lid=LSTSKIFFGDB4UGTVNTHBZQI1T&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFFGDB4UGTVNTH.SEARCH&ssid=ux2dgig0m80000001596818393673,Fashioncutz ,Women Floral Print Regular Blue Skirt,₹399,"₹1,299",3.9,1629,255,"['I am happy .very nice product .', 'superb', ""It's good but cotton golden print goes off by wash""]"
8,http://flipkart.com/vikalps-embroidered-women-regular-pink-skirt/p/itma1561c5ac35da?pid=SKIFSYNH5DV5P82X&lid=LSTSKIFSYNH5DV5P82XWIYV51&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFSYNH5DV5P82X.SEARCH&ssid=ux2dgig0m80000001596818393673,VIKALPS ,Women Embroidered Regular Pink Skirt,₹553,₹999,3.9,45,8,"['Awesome 🤗 I love it', ""It's amazing 😍"", 'Extraordinary super 😍❤️😘']"
9,http://flipkart.com/vikalps-printed-women-a-line-dark-blue-skirt/p/itm69af05746713d?pid=SKIFJBUMEWYWJRZW&lid=LSTSKIFJBUMEWYWJRZWMTUVFG&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFJBUMEWYWJRZW.SEARCH&ssid=ux2dgig0m80000001596818393673,VIKALPS ,Women Printed A-line Dark Blue Skirt,₹399,₹900,4.1,108,22,"[""Very nice product I'm happy"", 'Amazing with good quality', 'Nice  quality of']"
