ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
0,http://flipkart.com/flying-machine-striped-men-round-neck-dark-blue-t-shirt/p/itmf7uwuwgpkcejj?pid=TSHF7UWTEEJ453AZ&lid=LSTTSHF7UWTEEJ453AZDRO5MV&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=en_%2BOBW45rOHDGM%2B4Ce40UJYlvOJMXmOcOMELAufBnn7cDQi%2FrmJwWrZXZEnfwHZ3q7c%2Fug8WzPUTC3rJo0EAKWhw%3D%3D&ssid=q34d5cw9vk0000001594558667706,Flying Machine ,Striped Men Round Neck Dark Blue T-Shirt,₹519,"₹1,299",4.3,38,3,"['Colour got light not as seems dark blue but after all looking good', 'Good product', 'good quality perfectly fit me m just 5.5inch with 32 waist so i wore M size']"
1,http://flipkart.com/maniac-color-block-men-round-neck-red-white-black-t-shirt/p/itm954cd71809e89?pid=TSHFMZ3FQYWGMY9P&lid=LSTTSHFMZ3FQYWGMY9PNNIAF2&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=en_%2BOBW45rOHDGM%2B4Ce40UJYlvOJMXmOcOMELAufBnn7cC0sv9x62peUQfpYzqApV1cFN0mUlYdvuidsSbiH9Qvvw%3D%3D&ssid=q34d5cw9vk0000001594558667706,Maniac ,"Color Block Men Round Neck Red, White, Black T-Shirt",₹350,₹959,4,14567,1866,"['Amazing Purchase!', 'its nyc i like it', 'nice t-shirt']"
2,http://flipkart.com/try-solid-men-polo-neck-white-black-t-shirt/p/itm2c2c28da76aa7?pid=TSHF8UEUQPUSH9HF&lid=LSTTSHF8UEUQPUSH9HFSXT9IB&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHF8UEUQPUSH9HF.SEARCH&ssid=q34d5cw9vk0000001594558667706,Try This ,"Solid Men Polo Neck White, Black T-Shirt",₹355,"₹1,299",3.8,51508,7410,"['nyc product & gud quality', 'Very nice dress', 'loved it']"
3,http://flipkart.com/rockhard-color-block-men-round-neck-black-orange-grey-t-shirt/p/itm46a9be57c51cb?pid=TSHFPFTTKHFZTZCA&lid=LSTTSHFPFTTKHFZTZCAWQZHRX&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFPFTTKHFZTZCA.SEARCH&ssid=q34d5cw9vk0000001594558667706,Rockhard ,"Color Block Men Round Neck Black, Orange, Grey T-Shirt",₹289,₹739,3.9,808,133,"['Nice t shirt and nice color and desine', 'Amazing ,pure cotton just AWESOME I accept just buy this one guys', 'Very nice culoar']"
4,http://flipkart.com/tripr-printed-men-hooded-neck-dark-blue-white-t-shirt/p/itm4890f34137ed1?pid=TSHFSH7PUANG2BUA&lid=LSTTSHFSH7PUANG2BUA8DNF6Y&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFSH7PUANG2BUA.SEARCH&ssid=q34d5cw9vk0000001594558667706,Tripr ,"Printed Men Hooded Neck Dark Blue, White T-Shirt  (Pack of 2)",₹551,"₹2,499",3.9,11310,1472,"['good', 'asome  nice product', ""it's very nice product""]"
5,http://flipkart.com/metronaut-solid-men-polo-neck-blue-t-shirt/p/itmffdhhacyugzb9?pid=TSHFFDHHDAHBQ5TN&lid=LSTTSHFFDHHDAHBQ5TNYXKUXT&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFFDHHDAHBQ5TN.SEARCH&ssid=q34d5cw9vk0000001594558667706,Metronaut ,Solid Men Polo Neck Blue T-Shirt,₹239,₹799,3.9,1328,180,"[""it's nice... fabric also good"", 'nice quality...', 'thanks']"
6,http://flipkart.com/scatchite-color-block-men-round-neck-white-black-grey-t-shirt/p/itm797b2d3312f2d?pid=TSHFKG8ZNCFGPRJR&lid=LSTTSHFKG8ZNCFGPRJRESWDG9&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFKG8ZNCFGPRJR.SEARCH&ssid=q34d5cw9vk0000001594558667706,SCATCHITE ,"Color Block Men Round Neck White, Black, Grey T-Shirt  (Pack of 3)",₹721,"₹2,997",3.6,2862,350,"['Love this product ♥️ thank you flipkart 💓💓', 'very nice', 'Thanks To Flipcart']"
7,http://flipkart.com/tripr-abstract-men-hooded-neck-dark-blue-t-shirt/p/itmfbh24farrt3qj?pid=TSHFBDGVRGG489F2&lid=LSTTSHFBDGVRGG489F2HQONGY&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFBDGVRGG489F2.SEARCH&ssid=q34d5cw9vk0000001594558667706,Tripr ,Abstract Men Hooded Neck Dark Blue T-Shirt,₹339,₹899,4,72811,9453,"['nice tshirt', 'Value for money product', 'good quality bst colour is not that dark but well designde and satisfied product..😁']"
8,http://flipkart.com/fastcolors-solid-men-round-neck-white-blue-maroon-t-shirt/p/itm82a1ecc40bb70?pid=TSHFSQMFJKJBYHWR&lid=LSTTSHFSQMFJKJBYHWR8HKVAI&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFSQMFJKJBYHWR.SEARCH&ssid=q34d5cw9vk0000001594558667706,FastColors ,"Solid Men Round Neck White, Blue, Maroon T-Shirt  (Pack of 2)",₹552,"₹2,399",4,26091,3323,"['nice one👌', 'Perfect', 'nice t shirt']"
9,http://flipkart.com/fastcolors-solid-men-round-neck-red-blue-yellow-t-shirt/p/itm1769ad299116d?pid=TSHFSQMFFYCVQU8H&lid=LSTTSHFSQMFFYCVQU8HEHMGDN&marketplace=FLIPKART&spotlightTagId=TrendingId_clo%2Fash%2Fank%2Fedy&srno=b_1_10&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFSQMFFYCVQU8H.SEARCH&ssid=q34d5cw9vk0000001594558667706,FastColors ,"Solid Men Round Neck Red, Blue, Yellow T-Shirt  (Pack of 2)",₹552,"₹2,399",3.9,13084,1511,"['Nice', 'super', 'OK.. not bad']"
10,http://flipkart.com/bullmer-printed-men-round-neck-multicolor-t-shirt/p/itmd48c7eee46d37?pid=TSHFSBS5AKFMGRYY&lid=LSTTSHFSBS5AKFMGRYYJVNDYY&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFSBS5AKFMGRYY.SEARCH&ssid=q34d5cw9vk0000001594558667706,BULLMER ,Printed Men Round Neck Multicolor T-Shirt  (Pack of 3),₹698,"₹1,499",4.1,546,98,"['Nice and value for money...thanks flipkart...happy with this product...', 'Nice tshirts 😘😘', 'Really worth of money']"
11,http://flipkart.com/london-hills-solid-men-round-neck-blue-yellow-t-shirt/p/itmab4ed27c196ac?pid=TSHFSHGC7ZNZCS3K&lid=LSTTSHFSHGC7ZNZCS3K65F3VA&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=d0920f43-cca6-4dc5-863f-41ead707b589.TSHFSHGC7ZNZCS3K.SEARCH&ssid=q34d5cw9vk0000001594558667706,London Hills ,"Solid Men Round Neck Blue, Yellow T-Shirt  (Pack of 2)",₹664,"₹2,598",4.1,100,13,"['Very nice t-shirt', 'Good', 'Good product']"
