,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
0,http://flipkart.com/aayu-women-fit-flare-multicolor-dress/p/itmfbz6zajmnsthr?pid=DREFBYMFG4AGWRHE&lid=LSTDREFBYMFG4AGWRHEHXJBKS&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFBYMFG4AGWRHE.SEARCH&ssid=wfnpprmlww0000001596817412127,0,Women Fit and Flare Multicolor Dress,4,4510,867,nice🙂👍 nice fabric beautiful dress perfect for feeding as all buttons are openable belt is also provided thank u flipkart excellent product,2.5259,0.04074176944476
1,http://flipkart.com/micozy-women-a-line-multicolor-dress/p/itm8bf8b675bfc32?pid=DREFEHWMKWFB9PYY&lid=LSTDREFEHWMKWFB9PYYJHMT9A&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFEHWMKWFB9PYY.SEARCH&ssid=wfnpprmlww0000001596817412127,1,Women A-line Multicolor Dress,4,12612,2026,very very nice dress 💃💃💃💃💃 good good,1.3023,0.08791819258814
2,http://flipkart.com/daevish-women-a-line-black-dress/p/itm14fd040ead0c5?pid=DREFNXPYFGUEGRQE&lid=LSTDREFNXPYFGUEGRQEYPSC8P&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFNXPYFGUEGRQE.SEARCH&ssid=wfnpprmlww0000001596817412127,2,Women A-line Black Dress,4.3,6532,1445,i love this dress 👌👌 good quality perfect dress,1.6492,0.05577175400358
3,http://flipkart.com/limeswood-creation-women-maxi-black-yellow-dress/p/itmbd63360667754?pid=DREFPBNMF2ZTCGZH&lid=LSTDREFPBNMF2ZTCGZHGMLETK&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFPBNMF2ZTCGZH.SEARCH&ssid=wfnpprmlww0000001596817412127,3,"Women Maxi Black, Yellow Dress",3.9,408,50,good product nice dress but finishing was not well nyc product,1.1351,0.00257554205655
4,http://flipkart.com/tokyo-talkies-women-maxi-black-dress/p/itmf3vb6ydxcehff?pid=DREFYZQRNMHMPVRH&lid=LSTDREFYZQRNMHMPVRHURYJRM&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFYZQRNMHMPVRH.SEARCH&ssid=wfnpprmlww0000001596817412127,4,Women Maxi Black Dress,4.2,1173,283,outfit is js osam great dress very verry  nice😍😍😍go for itim  very happy with  this purchase 😘,1.6183,0.01008082484704
5,http://flipkart.com/rudraaksha-women-fit-flare-yellow-dress/p/itmfb7y35fqppjfp?pid=DREFB7U7SZHVTVRF&lid=LSTDREFB7U7SZHVTVRF0WHWD3&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFB7U7SZHVTVRF.SEARCH&ssid=wfnpprmlww0000001596817412127,5,Women Fit and Flare Yellow Dress With Mask,3.9,9422,1620,very good qualityso happy with this very good good product i am happy with this product 😊😊😊😊 nice product i love this,3.5234,0.09229514601687
6,http://flipkart.com/hetvi-creation-women-fit-flare-multicolor-dress/p/itmb1d1f5a8c1f4b?pid=DREFJ34HBWZZQVHY&lid=LSTDREFJ34HBWZZQVHY0GWJNN&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFJ34HBWZZQVHY.SEARCH&ssid=wfnpprmlww0000001596817412127,6,Women Fit and Flare Multicolor Dress,3.9,2285,346,this dress is so good and beautiful i just love it  and it is same as shown very nice product colour is not good,2.5386,0.01860744438344
7,http://flipkart.com/j-g-fashion-women-a-line-multicolor-dress/p/itmfekb55zzh5aqd?pid=DREFEK4MG3RCCR94&lid=LSTDREFEK4MG3RCCR943RWNFE&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFEK4MG3RCCR94.SEARCH&ssid=wfnpprmlww0000001596817412127,7,Women A-line Multicolor Dress,3.9,2094,381,good product good product  colour material everything is nice nice product,1.7238,0.01594626536822
8,http://flipkart.com/hiva-trendz-women-skater-multicolor-dress/p/itma63db90a03172?pid=DREFS9YZJGTFGYYF&lid=LSTDREFS9YZJGTFGYYFTHRLRL&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFS9YZJGTFGYYF.SEARCH&ssid=wfnpprmlww0000001596817412127,8,Women Skater Multicolor Dress,3.9,855,120,just wow go for it best product nice,1.6443,0.00598225130084
9,http://flipkart.com/dsk-studio-women-fit-flare-multicolor-dress/p/itmfffkyqhngtuax?pid=DREFFYHANZFCKPR8&lid=LSTDREFFYHANZFCKPR8YFWMVX&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFFYHANZFCKPR8.SEARCH&ssid=wfnpprmlww0000001596817412127,9,Women Fit and Flare Multicolor Dress,4.2,4793,852,ausome too good osm product love this 😍 very good product,1.9765,0.03979290027482
10,http://flipkart.com/dsk-studio-women-a-line-multicolor-dress/p/itmfffmbyfm9zhcu?pid=DREFFYHB3XZCSC9P&lid=LSTDREFFYHB3XZCSC9P0KXBQI&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFFYHB3XZCSC9P.SEARCH&ssid=wfnpprmlww0000001596817412127,10,Women A-line Multicolor Dress,4.1,5074,779,very beautiful dress i love this dress i am so happy 😇😇😇😍 excellent brought it for my sis she loves it 😍,3.4108,0.04796480497903
11,http://flipkart.com/hetvi-creation-women-fit-flare-multicolor-dress/p/itmfdtq49w3rygjr?pid=DREFDTGJVGFAXHJM&lid=LSTDREFDTGJVGFAXHJMVF9BIO&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFDTGJVGFAXHJM.SEARCH&ssid=wfnpprmlww0000001596817412127,11,Women Fit and Flare Multicolor Dress,3.7,2936,530,very nice kurti very good quality 100 cotten color same as show in picture but it little bit longotherwish perfect👌👌👌 its beautiful and good fabric like it and love it,2.8998,0.02616178877344
12,http://flipkart.com/zima-leto-women-bandage-yellow-dress/p/itmfgb2sg7dg65rn?pid=DREF8VFRAGDWMM3Z&lid=LSTDREF8VFRAGDWMM3ZTQ3WS7&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREF8VFRAGDWMM3Z.SEARCH&ssid=wfnpprmlww0000001596817412127,12,Women Bandage Yellow Dress,4.1,3815,717,just love it i loved it 😍🔥❤ i just loved itit so good that i have no words to explain,1.9801,0.03174963136640
13,http://flipkart.com/iqra-fashion-women-gown-maroon-dress/p/itm991e1b5e9a071?pid=DREFZE3CH3HGTZHG&lid=LSTDREFZE3CH3HGTZHG2UGO8O&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFZE3CH3HGTZHG.SEARCH&ssid=wfnpprmlww0000001596817412127,13,Women Gown Maroon Dress,4,2767,510,lovelly excellentsame as shown picture excellent 👍go for it 🤩,0.5719,0.01714534632235
14,http://flipkart.com/aayu-women-maxi-maroon-dress/p/itmfg5uptjqrzwjq?pid=DREFFE74V9VH8HMG&lid=LSTDREFFE74V9VH8HMGY6Z9WO&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=66ad179b-9f84-49aa-8fb6-191599bda7b7.DREFFE74V9VH8HMG.SEARCH&ssid=wfnpprmlww0000001596817412127,14,Women Maxi Maroon Dress,4.2,3456,694,exactly as shown in the image and the fabric quality is awesome just loved it nice product properly fitted bt long 👌 good,2.8159,0.03421552959130
