sno,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
0,http://flipkart.com/vikalps-printed-women-regular-maroon-skirt/p/itm21705740064d6?pid=SKIFN2EGH5KAZUCW&lid=LSTSKIFN2EGH5KAZUCWYIMNZC&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFN2EGH5KAZUCW.SEARCH&ssid=ux2dgig0m80000001596818393673,0,Women Printed Regular Maroon Skirt,3.8,536,83,nice skirt n febric is also good go for it value for money😊😊 quality of cloth is very good  comfortable im happy🙂 very good,2.5933,0.0368741110
1,http://flipkart.com/frionkandy-printed-women-wrap-around-black-skirt/p/itmfhbgbfxhnu6rz?pid=SKIFH9R2QU8QPZE6&lid=LSTSKIFH9R2QU8QPZE62ARLWR&marketplace=FLIPKART&spotlightTagId=BestsellerId_clo%2Fvua%2Fiku&srno=b_1_2&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFH9R2QU8QPZE6.SEARCH&ssid=ux2dgig0m80000001596818393673,1,Women Printed Wrap Around Black Skirt,4.1,1825,297,nice quality in this price lovely product must by good comfortable ☺️,2.4172,0.1304515090
2,http://flipkart.com/vikalps-embroidered-women-a-line-white-skirt/p/itm7596857b29e99?pid=SKIFSYNMG8UGDKYB&lid=LSTSKIFSYNMG8UGDKYBW6VUUJ&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFSYNMG8UGDKYB.SEARCH&ssid=ux2dgig0m80000001596818393673,2,Women Embroidered A-line White Skirt,4.1,60,14,super wow quality parameters of skirt is good but it was larger in size,1.6257,0.0042308300
3,http://flipkart.com/unique-choice-printed-women-a-line-black-skirt/p/itm6114c3ede223c?pid=SKIFZWYZJZMAHZ9H&lid=LSTSKIFZWYZJZMAHZ9HCTRUEZ&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFZWYZJZMAHZ9H.SEARCH&ssid=ux2dgig0m80000001596818393673,3,Women Printed A-line Black Skirt,4.1,273,44,really worth for money amazing product totally similar like the picturei like this most thank you flipkart for delivering this best productand also so comfortable to wearing nice producti love thisthanks flipkart,4.1017,0.0245432640
4,http://flipkart.com/unique-choice-printed-women-wrap-around-white-skirt/p/itmfe6xtby4vafgm?pid=SKIFE6HYQG5HAU6R&lid=LSTSKIFE6HYQG5HAU6RSWHCAM&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFE6HYQG5HAU6R.SEARCH&ssid=ux2dgig0m80000001596818393673,4,Women Printed Wrap Around White Skirt,4.1,223,34,good items  thanks superb fantastic,2.0631,0.0147305570
5,http://flipkart.com/fashioncutz-printed-women-flared-white-maroon-skirt/p/itm6767e25b8c665?pid=SKIFSQ3QZ3UGKR8J&lid=LSTSKIFSQ3QZ3UGKR8JRC2WSU&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFSQ3QZ3UGKR8J.SEARCH&ssid=ux2dgig0m80000001596818393673,5,"Women Printed Flared White, Maroon Skirt",4.1,223,37,dress material is good quality is also good  good product awsm got in rs 499good productcolour is also same as to in pic,1.3212,0.0132675100
6,http://flipkart.com/modern-kart-printed-women-wrap-around-red-skirt/p/itmf5jwbtvz3mfqs?pid=SKIF5JGFFGCYHFFQ&lid=LSTSKIF5JGFFGCYHFFQOSRTOO&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIF5JGFFGCYHFFQ.SEARCH&ssid=ux2dgig0m80000001596818393673,6,Women Printed Wrap Around Red Skirt,3.9,193,26,color is not red its colour is vryy 9ccc thk flip cart fr ths product i am very happy to this product very good i loved it alot👍☺️☺️ super wrap even the fabric is cool  packing and delivery are beyond words thanks flipkart,2.9697,0.0134664160
7,http://flipkart.com/fashioncutz-floral-print-women-regular-blue-skirt/p/itmffgnwufvr74qt?pid=SKIFFGDB4UGTVNTH&lid=LSTSKIFFGDB4UGTVNTHBZQI1T&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFFGDB4UGTVNTH.SEARCH&ssid=ux2dgig0m80000001596818393673,7,Women Floral Print Regular Blue Skirt,3.9,1629,255,i am happy very nice product  superb its good but cotton golden print goes off by wash,2.0587,0.1049410750
8,http://flipkart.com/vikalps-embroidered-women-regular-pink-skirt/p/itma1561c5ac35da?pid=SKIFSYNH5DV5P82X&lid=LSTSKIFSYNH5DV5P82XWIYV51&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFSYNH5DV5P82X.SEARCH&ssid=ux2dgig0m80000001596818393673,8,Women Embroidered Regular Pink Skirt,3.9,45,8,awesome 🤗 i love it its amazing 😍 extraordinary super 😍❤️😘,3.3274,0.0037327610
9,http://flipkart.com/vikalps-printed-women-a-line-dark-blue-skirt/p/itm69af05746713d?pid=SKIFJBUMEWYWJRZW&lid=LSTSKIFJBUMEWYWJRZWMTUVFG&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=052773bb-7b9b-417b-871c-64de8fb10193.SKIFJBUMEWYWJRZW.SEARCH&ssid=ux2dgig0m80000001596818393673,9,Women Printed A-line Dark Blue Skirt,4.1,108,22,very nice product im happy amazing with good quality nice  quality of,2.4412,0.0084920940
